,Ballot Submission,,,,,,,,,,,,,,,,,Triage & Committee Resolution,,,,,,,,,,,,,,,,,Ballot Comment Tracking,,,,,,,,,
10,FMG,,1.1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,Findings in genetics are a specific report of the divergences from the norm. ,Findings in genetics are a set of differences from the norm in the observed  sequence,Change diverenges to differences,"Change ""divergences"" -> ""differences""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
11,FMG,,1.1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,A-T,Correction,,"Or, a patient sample has a chromosomal aberration (such as duplication of a chromosome), where the reference is considered to be a generic arrangement of chromosomes.","Or, a patient sample has a chromosomal aberration (such as duplication of a chromosome), where the reference is considered to be a normal arrangement of chromosomes.",Change generic to normal,"Change ""generic"" -> ""normal""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
12,FMG,,1.1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Enhancement,,"Another example is the microarray detected presence of a SNP, here the reference is the probe set sequence used for detection.",,Think they still have standard ref sequence just like any other test but I am not certain. (Users WILL be also interested in the brand and model of the array- don't know if we have provided for that),Include brand and model of array,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
13,FMG,,1.1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"Commonly, these findings are reported with interpretations, impacts and recommendations.",,"Realize that these are our internal definitions and may not be recognized by most readers. In fact, not really convinced that the three distinctions are essential. Why not just interpretations and recommendations?","Comment on use of internal definitions, consider removing distinctions",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
14,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Enhancement,,"These range from direct sequencing, inference from microarrays, and mass spectrometry. ",,"Reference for mass spec hadn't realized it was still used:
Characterization of nucleic acids by tandem mass spectrometry ? The second decade (2004–2013): From DNA to RNA and modified sequences
Stefan Schürch
First published: 06 October 2014 https://doi.org/10.1002/mas.21442",Include reference for use of mass spec,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
15,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"Additionally, DNA differences are sometimes reported on the basis of cytogenetic analysis ","Additionally, genetics findings  are sometimes reported on the basis of cytogenetic analysis ",Classic cytogeneic analysis didn't deal directly with DNA - just big structures they could see under the microscope; so I think it's better to generalize the findings. ,"Change ""DNA differences"" -> ""differences""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
16,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,For DNA and RNA the bases (or monomeric subunits) are nucleotides. ,For DNA and RNA the units of analysis (or monomeric subunits) are nucleotides. ,Nucleotides are often called base pairs . So think using bases may not be clear.,"Change ""bases"" -> ""units of analysis""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
17,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,For proteins the bases are amino acids.,For proteins the units of analysis are amino acids.,"Be careful, nucleotides are called base pairs.","Change ""bases"" -> ""units of analysis""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
18,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"Direct sequencing techniques follow a multistep pathway. The initial phase of a sequencing run produces raw sequence with a qualification of the quality of the raw sequence. The raw sequence is then subject to further computational analysis. In traditional sequencing the product is a single 'read' and the initial step is often the final step. However, in techniques such as next-generation sequencing, the initial step is massively parallel and many 'reads' result. The next phase for massively parallel sequencing techniques is to align the 'reads' to each other and a reference sequence, which acts as a scaffold to aid in assembling 'reads,' in order to create longer, contiguous series of sequences. The next phase for traditional and highly-parallel sequencing techniques is to compare the sequence, or sequence of the assembled 'reads,' to a reference sequence. This comparison produces indientification of variance and quality scores.",,Don't think we should be going so far. Why not just cite a good reference - there are plenty of over view descriptions at NCBI and Genetic Home Reference.,Consider consolidating and using simple NCBI or GHR reference description,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
19,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,Inferential techniques for determining variants in sequences rely upon a standard as a reference.,,"Redundant words, the reference is a sequence+P22 .","Redundant words, the reference is a sequence+P22",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
20,FMG,,1.1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"Inferential techniques for determining variants in sequences rely upon a standard as a reference. For example, inference from microarrays is done through comparing the signal produced by a sample to a known standard reference. In the case of microarrays, the probe set used conveys the positions interrogated. In Mass spectrometry, the standard is the mass of a known reference. In inferential techniques the output is the presence or absence of variation with a technique specific measurement of accuracy.",,"Don't think this is exactly correct and worry that we will have to spend time on this when it would be easy to cite well polished reference (or quotes from it).
",Possible inaccuracy; consider adding reference(s),,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
21,FMG,,1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Enhancement,,"Concepts covered include the genomics report itself and the high-level categories of observations and other elements that make up the report, such as patient, specimen, variants, haplotypes, genotypes, etc.",,Should we plan on a glossary of definitions. We do tend to define some of these in place.,Add glossary of definitions,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
22,FMG,,1.2.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Clarification,,"(Rules for relevancy will be dependent the type of testing ordered, the indicated reason for testing and the policies of the lab.)",,"Should decide whether we want to call it ""indication"" for testing or reason for testing. But not both.","Clarification on use of word ""indication"" to describe testing or reason for testing",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
23,FMG,,1.2.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"(Rules for relevancy will be dependent the type of testing ordered, the indicated reason for testing and the policies of the lab.)","(Rules for relevancy will depend on the type of testing ordered, the  reason for testing and the policies of the lab.)","Change ""be dependent"" -> ""depend on""","Change ""be dependent"" -> ""depend on""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
24,FMG,,1.2.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,Figure 1 Box at bottom that describes the things look for including: range-examined (51959-5),,"Disagree with the idea that all of the things looked for have to be represented in each variant. First, there is a way to enumerate each variant and as present or absent in V2, don't know if is carried into FHIR. Regardless, the negatives do not usually apply to a named variant. Those are the things found and by implication positive. The need to know what was looked for only applies to what was not found. Doesn't help to apply that to all of the things that were found (in my opinion). It is a container thing (the whole report). Further, the test name is sometimes all you will get (e.g Exon 5 gene X). The details about actual ranges looked at are often proprietary.",Comment to disagree that all things examined within range have to be represented in each variant,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
25,FMG,,1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/sequencing.html,,,,General comments on 1.3 Sequenced Variants,,See Word Doc: 2018 05 07 McDonald – ballotcomments_FHIR_IG_CG_R1_D1_2018MAY – BALLOT COMMENT #25,,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
26,FMG,,1.2.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"These are high-level assessments of the result of the genetic testing, generally expressed based on the question asked in the initiating diagnostic service request. For example, ""Were any deletions or duplications found?""","These are high-level assessments of the result of the genetic testing, generally expressed based on the question asked in the initiating diagnostic service request. For example, ""Were any deletions or duplications found?""","Don't think you can make such an assumption. Ordering providers pick a named test from a menu. They may add ask at order entry.
Don't think negative ever means negative for the one thing you asked about (unless the test name constrains). That means they didn't find anything in the scope whether you asked or not. ",Remove text to broaden statement,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
27,FMG,,1.2.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"These are covered by DiagnosticReport risk which provides a link to an assessment of prognosis or risk as informed by the diagnostic results (For example, genetic results and possibly by patient genetic family history information). ","These are covered by DiagnosticReport and RiskAssessment which provides a link to an assessment of prognosis or risk as informed by the diagnostic results (for example, genetic results and possibly by patient genetic family history information). ","This could be confusing because typical a mutation analysis test requestor's request not does include a risk assessment. That assessment, including sympotms and family history is only rarely provided by the lab (though it can be). In fact the it is often reserved as the job of the  medical geneticist. So would not make this a back bone of the reports.",Add RiskAssessment resource to clarify since mutation analysis test does not include a risk assessment,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
28,FMG,,1.2.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Clarification,,"As shown in the diagram above, all of the observations may hang directly off of the diagnostic report However, they can also be part of a panel. In this version of the specification, no guidance is provided on when or if panels should be used. This is left up to the discretion of the reporting lab. Observations might be organized on the basis of subject, specimen, chromosome, gene, condition/disease, medication or other appropriate measure. The recursive ""hasMember"" relationship on panel supports a nested tree-structure of panels if appropriate, though more than two levels of panels is likely excessive.",,Need restatement to clarify. Confusing and too open. The described variant also represents a panel.,Clarification or restatement needed to synthenize text,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
29,FMG,,1.2.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,A-T,,," In some cases, a genetic report may involve multiple patients or multiple specimens.","In special cases, a genetic report may involve multiple patients or multiple specimens.","Change ""some"" -> ""special""","Change ""some"" -> ""special""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
30,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,A-T,,,These are the fine and coarse-grained descriptions of a specimen's genetic characteristics.,These are the fine and/or coarse-grained descriptions of a specimen's genetic characteristics.,"Add ""/or""","Add ""/or""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
31,FMG,,,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,Figure 5: Genotype 84413-4,Genotype Display Name 84413-4,"I understand why you want to shorten, but the change could mislead. These are not solid codes for genotype or haplotype. Would like to find a way to link from the figure (or content below them) to the LOINC code, description and answer list. Have linked to the answer list in the change document but these early tables are a bit more digestable. Lets talk. ",Discussion needed on change from display names on 84413-4,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
32,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,Figure 5 Haplotype 84414-2,Haplotype Name 84414-2,Name in V2,Discussion needed on change from display names on 84414-2,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
33,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"Figure 5: Computable Genetic Finding, component(chromosome-location) 48001-2 [0..*]",,"Almost always called cytogenic location. Which hints at the coarseness of the ""location"" and the semantics in which it is expresed.  We have  locatins all over. This is not the DNA position LOINC name says that.",Discrepency between proposed label and DNA position on LOINC code,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
34,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"Figure 5: Computable Genetic Finding, component(dna-region-name) 81293-3 [0..*]",,"Supposed to be a description, not a code. Think it's just supposed to be text. Remind Clem to say something else.",Should be description not code,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
35,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,Figure 5: Cytogenetic Notation 81291-7,Figure 5: Cytogenetic Nomenclature  81291-7,Called Variant ISCN. Still worry whether readers will get it. If we drop ISCN should change Notation to Nomenclature- that is what ISCN calls it,Discrepency on naming and general concern over name change,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
36,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,Figure 5: Cis or Trans,,Unclear - I don't recall discussion plus the complex variants distinguish this (I think).,Complex variants distinguish cis from trans,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
37,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,Figure 5: Variation (any type),,Didn't think a haplotype can be identified in absence of any information on variant.,Comment on haplotype being identified absence info on variant,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
38,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Clarification,,"Both types of findings can support the determination of genetic impacts, but only computable findings can be used with automated decision support.",,This could be read to imply that a valid report could include only text findings. Think we should be clear to say that this structured report requires computable content but allows text content in addition or when there is no suitable alternatives.,Clarify needed to distinguish report requires computable content but allows text when needed,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
39,FMG,,1.2.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Enhancement,,"Genotypes describe combinations of genetic variations that together are associated with a particular phenotype - i.e. a specific physical, behavioral or risk-associated difference associated with the organism whose specimen was tested.",,This may not be true. I have understood that the genotype is everything you know about the individual genetics including all the normals as well as possibly multiple things that might be described as separate phenotypes. (Will need the experts to weigh in),More explanation needed to describe genotype definition,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
40,FMG,,1.2.4,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Enhancement,,Figure 6,,"Think we need to include the answer lists. Otherwise, no one will get what these variables are supposed to report. Granted you can get to them from other place but why make it harder when you could give answer lists. This harkens back to the earlier comment. How to get link to answer lists (and description for that matter). Could put a parallel table with links (At least in theory).",Comment to consider including answer lists to help user understand what variables are supposed to report,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
41,FMG,,1.2.4,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,,Enhancement,,Figure 6: Genetic Interpretations,,"Figure 6 describes the overall impression in coarse terms e.g. whether positive , negative  (See the answer lists).  Interpretations are also included per variant, including an simple interpretation (variant assessment) and a possible phenotype. This has been pulled into a more complex structure that will not be needed for the typical report. I think it should be added back to described (individual) variant content.",Move content back to described individual variant content,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
42,FMG,,1.2.4,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,,Enhancement,,Genetic Analysis Overall Coded Interpretation is typically used when the genetic test was looking for a particular genetically-based disease. It allows indication of whether the disease was found or not.,"Genetic Analysis Overall Coded Interpretation is what the laboratory declares is the summary results of the test (Pos , neg and a few inbetwenn). Typically used when the genetic test was looking for a particular genetically-based disease. It allows indication of whether the disease was found or not",Inserted text to explain laboratory findings,Inserted text to explain laboratory findings,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
43,FMG,,1.2.5,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Enhancement,,Figure 7: Inherited Disease Pathogenicity 53037-8,,"Formerly called variant clinical significance. With answer list
1. pathogenic 
2. Likely pathogenic LA6704-6
3.Uncertain significance LA6705-3
4. Likely benign LA6706-1
5. Benign

Believe it is a always reported with each variant. Seperating it into a separate profile may make it seem disconnected. This particular list is from a published genomics paper PMID 25741868 (PMCID: PMC4544753). But there may be a desire to tweak it.",Seperating it into a separate profile may make it seem disconnected.,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
44,FMG,,1.2.5,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"unsolicited allows distinction of impacts where assessment was specifically asked for as part of the original order and those provided as ""additional information"" by the reporting organization",,think unsolicited is the base cases. So worry the spec is assuming too much about usual practice. ,Concern the spec is too assuming in unsolicited,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
45,FMG,,1.2.5,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Enhancement,,"relatedArtifact supports conveying references to citations, supporting documentation and other information relevant to the assertion of the impact",,OK but need to flesh out. Believe we may have LOINC code for some of this but we proposed them not implemented in V2,More information needed for relatedArtifact,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
46,FMG,,1.2.5,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,levelOfEvidence indicates the strength of the evidence behind the assertion, ,"Maybe standard but if true, has not been well developed in practice. Maybe we should wait. Further - references that I have seen in reports are usually just a package at the end and the linkages are obvious, but agree they might be tied to specific findigs. ",Consider waiting on levelOfEvidence,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
47,FMG,,1.2.6,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"The Sequenced Variants section deals with all types of variants detected by formal sequencing, including simple/discrete variants, structural variants and complex variants detected by direct sequencing, shot-gun-based sequencing and array-based testing for specific variants.","The Sequence Variants section deals with all types of variants detected by formal sequencing, including simple/discrete variants, structural variants and complex variants detected by direct sequencing, shot-gun-based sequencing and array-based testing for specific variants.","Think the name ""sequenced' is is not right. Think report would also deliver results from a package of probes and array based testing is not a sequencing method.  I think variants reported or observed variants would be better.  Assume you are trying to distinguish it from legacy Cytogenetics which was excluded in the original plan and will be ",Consider variants reported or observed variants in lieu of Sequenced Variants,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
48,FMG,,1.2.6,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/general.html,NEG,Correction,,"The Cytogenomic Reporting section deals with all types of cytogenetic observations including single-code cytogenetic notations (i.e. ISCN codes), FISH test results and microarray results.",,"ISCN is not limited strictly to legacy cytogenetics. It can report deletions and  duplications which are part of ""standard"" genomics. Granted that FISH is used in Ctyogenetics. It is not exclusively cytogeneticss . Except for banding of various kinds which would ideally be left out, this seperation adds complexity and think we could do without. ISCN typically reports all of the abnormalities in one expresion. Not usually broken out by discrete variant. ",Comment on ISCN not strictly limited to legacy cytogenetics,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
49,FMG,,1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/sequencing.html,NEG,Correction,,Figure 1: Copy Number Change (62377-7),,"Definition of copy number variation from illumina : Copy number variations (CNVs) are genomic alterations that result in an abnormal number of copies of one or more genes. Structural genomic rearrangements such as duplications, deletions, translocations, and inversions can cause CNVs. Don't think copy number is the right label for what was previously structural variant. Further, copy number is usually an integer and is another attribute by itself. Structural variants refer to whole chunks of chromosomes. or smaller parts that are not within a gene. Regarding the belief that structureal variants are still discrete - talking about one deletion or one duplication at a time. So would not have to go to ""described variant"" to avoid the name discrete variant. ","Comment on label ""copy number"" for what used to be structural variant",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
50,FMG,,1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/sequencing.html,NEG,Correction,,Figure 1: Microarray Platform (Device),,"This is usually needed by deletion/duplication studies and might be best applied at a higher point in the report structure.
A typical report would include the result for the individual variants (from whatever analysis) and then as an additional statement in the report would say we looked for deletion/duplications by ArrCGH and found either XYZ or nothing.",Usually applied to deletion/duplication studies and might be best applied at higher point in the report structure.,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
51,FMG,,1.3,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/sequencing.html,NEG,Clarification,,"Figure 1: Sequencing Profiles, Table: Described Variant (Discrete or Structural) - component (specimen-source) 48002-0 [0..1]",,"The name ""specimen-source"" was changed from ""Specimen-source-class"". This is clearly shorter but believe the other name is widely used to distinguish somatic from germline and fetal.",Change in label from specimen-source to specimen-source-class could confuse since the latter is widely used to distinguish somatic from germline and fetal,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
52,FMG,,1.6,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/somatics.html,NEG,Enhancement,,This portion of the implementation guide relies on the content in the General Genomic Reporting and Sequenced Variants portions of this implementation guide. Somatic genetic reports supplement this information with a set of somatics-specific impact profiles. ,"This portion of the implementation guide relies on the content in the General Genomic Reporting and Sequenced Variants portions of this implementation guide. Somatic variants themselves can be reported without using this profile but this profile is needed to report prognostic, diagnostic and therapeutic complications. ",Inserted text on somatic variants,Inserted text on somatic variants,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
